Downloading instrument: EVX:CN 
Downloading instrument: EPI:CN 
Downloading instrument: TZR:CN 
Downloading instrument: AGI:CN 
Downloading instrument: PRB:CN 
Downloading instrument: BP:CN 
Downloading instrument: CHTA:CN 
Downloading instrument: PDL:CN 
Downloading instrument: NZC:CN 
Downloading instrument: IAM:CN 
Downloading instrument: DHX:CN 
Downloading instrument: CNT:CN 
Downloading instrument: CXO:CN 
Downloading instrument: DGC:CN 
Downloading instrument: PMA:CN 
Downloading instrument: RPC:CN 
Downloading instrument: NXT:CN 
Downloading instrument: RCH:CN 
Downloading instrument: ONE:CN 
Downloading instrument: OBE:CN 
Downloading instrument: DBV:CN 
Downloading instrument: FSZ:CN 
Downloading instrument: SBR:CN 
Downloading instrument: POE:CN 
Downloading instrument: HMI:CN 
Downloading instrument: GQC:CN 
Downloading instrument: GDC:CN 
Downloading instrument: STMP:CN 
Downloading instrument: BTR:CN 
Downloading instrument: CDC:CN 
Downloading instrument: EGA:CN 
Downloading instrument: AC:CN 
Downloading instrument: JOY:CN 
Downloading instrument: BIR:CN 
Downloading instrument: MPC:CN 
Downloading instrument: DVI:CN 
Downloading instrument: D.UN:CN 
Downloading instrument: WCN:CN 
Downloading instrument: NGH.H:CN 
Downloading instrument: AF:CN 
Downloading instrument: NMX:CN 
Downloading instrument: AD:CN 
Downloading instrument: MND:CN 
Downloading instrument: PEGI:CN 
Downloading instrument: AVP:CN 
Downloading instrument: TMD:CN 
Downloading instrument: GCT:CN 
Downloading instrument: HCG:CN 
Downloading instrument: YOO:CN 
Downloading instrument: HBC:CN 
Downloading instrument: TECK.B:CN 
Downloading instrument: G:CN 
Downloading instrument: IOM:CN 
Downloading instrument: ACQ:CN 
Downloading instrument: WAR:CN 
Downloading instrument: RCT:CN 
Downloading instrument: DII.B:CN 
Downloading instrument: IPA:CN 
Downloading instrument: BRB:CN 
Downloading instrument: STEP:CN 
Downloading instrument: SPE:CN 
Downloading instrument: JSP:CN 
Downloading instrument: PED:CN 
Downloading instrument: NMI:CN 
Downloading instrument: SGZ:CN 
Downloading instrument: SOG:CN 
Downloading instrument: SQP:CN 
Downloading instrument: WSP:CN 
Downloading instrument: TCO:CN 
Downloading instrument: ERA:CN 
Downloading instrument: BNP:CN 
Downloading instrument: SRHI:CN 
Downloading instrument: AGG:CN 
Downloading instrument: HR.UN:CN 
Downloading instrument: CHW:CN 
Downloading instrument: RFP:CN 
Downloading instrument: TZM.H:CN 
Downloading instrument: VO:CN 
Downloading instrument: RIN:CN 
Downloading instrument: ALV:CN 
Downloading instrument: WRG:CN 
Downloading instrument: SXI:CN 
Downloading instrument: CPI:CN 
Downloading instrument: MAZ.H:CN 
Downloading instrument: RCLF:CN 
Downloading instrument: TPL:CN 
Downloading instrument: AOI:CN 
Downloading instrument: WIL:CN 
Downloading instrument: RGD:CN 
Downloading instrument: QZM:CN 
Downloading instrument: AFE:CN 
Downloading instrument: AZ:CN 
Downloading instrument: WATR:CN 
Downloading instrument: IMV:CN 
Downloading instrument: MDNA:CN 
Downloading instrument: KDI:CN 
Downloading instrument: ICL:CN 
Downloading instrument: CKG:CN 
Downloading instrument: VEC:CN 
Downloading instrument: CFM:CN 
Downloading instrument: LOT:CN 
Downloading instrument: RDL:CN 
Downloading instrument: CGX:CN 
Downloading instrument: AEC:CN 
Downloading instrument: CRE:CN 
Downloading instrument: CDH:CN 
Downloading instrument: ABT:CN 
Downloading instrument: FLY:CN 
Downloading instrument: LX.H:CN 
Downloading instrument: MGW:CN 
Downloading instrument: EDV:CN 
Downloading instrument: AII:CN 
Downloading instrument: ABCN:CN 
Downloading instrument: ENA:CN 
Downloading instrument: MSI:CN 
Downloading instrument: IPLP:CN 
Downloading instrument: MAXR:CN 
Downloading instrument: RY:CN 
Downloading instrument: ISO:CN 
Downloading instrument: PP:CN 
Downloading instrument: HPL:CN 
Downloading instrument: VMY.H:CN 
Downloading instrument: CBG:CN 
Downloading instrument: T:CN 
Downloading instrument: CRH:CN 
Downloading instrument: ELR:CN 
Downloading instrument: EGM:CN 
Downloading instrument: BBB:CN 
Downloading instrument: LTX:CN 
Downloading instrument: XAU:CN 
Downloading instrument: ENGH:CN 
Downloading instrument: GRDM:CN 
Downloading instrument: DNG:CN 
Downloading instrument: DIAM:CN 
Downloading instrument: SXE:CN 
Downloading instrument: BRIO:CN 
Downloading instrument: GAL:CN 
Downloading instrument: DXI:CN 
Downloading instrument: CGM:CN 
Downloading instrument: LB:CN 
Downloading instrument: RPM:CN 
Downloading instrument: WM:CN 
Downloading instrument: KOR:CN 
Downloading instrument: NPK:CN 
Downloading instrument: DCM:CN 
Downloading instrument: SQD:CN 
Downloading instrument: TPK:CN 
Downloading instrument: VBV:CN 
Downloading instrument: CTN:CN 
Downloading instrument: FVL:CN 
Downloading instrument: CPS:CN 
Downloading instrument: CAS:CN 
Downloading instrument: PMX:CN 
Downloading instrument: PKI:CN 
Downloading instrument: SNS:CN 
Downloading instrument: XR:CN 
Downloading instrument: CKE:CN 
Downloading instrument: NWC:CN 
Downloading instrument: HLC:CN 
Downloading instrument: CU:CN 
Downloading instrument: BOS:CN 
Downloading instrument: OEE:CN 
Downloading instrument: GSV:CN 
Downloading instrument: PTK:CN 
Downloading instrument: KAS:CN 
Downloading instrument: RYR:CN 
Downloading instrument: TOY:CN 
Downloading instrument: FCU:CN 
Downloading instrument: HPI:CN 
Downloading instrument: LAM:CN 
Downloading instrument: GCR:CN 
Downloading instrument: CS:CN 
Downloading instrument: NG:CN 
Downloading instrument: OLY:CN 
